2015-01-26 10:21:06.990 UTC |                 localhost-startStop-1 | DEBUG | matchID:          |      o.s.beans.factory.xml.PluggableSchemaResolver | Found XML schema [http://www.springframework.org/schema/beans/spring-beans.xsd] in classpath: org/springframework/beans/factory/xml/spring-beans-4.0.xsd
2015-01-26 10:21:07.007 UTC |                 localhost-startStop-1 | DEBUG | matchID:          |      o.s.beans.factory.xml.PluggableSchemaResolver | Found XML schema [http://www.springframework.org/schema/util/spring-util.xsd] in classpath: org/springframework/beans/factory/xml/spring-util-4.0.xsd
2015-01-26 10:21:07.010 UTC |                 localhost-startStop-1 | DEBUG | matchID:          |      o.s.beans.factory.xml.PluggableSchemaResolver | Found XML schema [http://www.springframework.org/schema/tool/spring-tool-4.0.xsd] in classpath: org/springframework/beans/factory/xml/spring-tool-4.0.xsd
2015-01-26 10:21:07.014 UTC |                 localhost-startStop-1 | DEBUG | matchID:          |    o.s.b.f.xml.DefaultBeanDefinitionDocumentReader | Loading bean definitions
2015-01-26 10:21:07.015 UTC |                 localhost-startStop-1 | DEBUG | matchID:          | o.s.b.factory.support.AbstractBeanDefinitionReader | Loaded 1 bean definitions from location pattern [classpath:/mapping/scoreboards-generic-score-type-mapping-context.xml]
2015-01-26 10:21:07.016 UTC |                 localhost-startStop-1 | DEBUG | matchID:          |    o.s.b.f.xml.DefaultBeanDefinitionDocumentReader | Imported 1 bean definitions from URL location [classpath:/mapping/scoreboards-generic-score-type-mapping-context.xml]
2015-01-26 10:21:07.016 UTC |                 localhost-startStop-1 |  INFO | matchID:          |      o.s.beans.factory.xml.XmlBeanDefinitionReader | Loading XML bean definitions from class path resource [scoreboards-generic-i18n-context.xml]
2015-01-26 10:21:07.017 UTC |                 localhost-startStop-1 | DEBUG | matchID:          |        o.s.beans.factory.xml.DefaultDocumentLoader | Using JAXP provider [com.sun.org.apache.xerces.internal.jaxp.DocumentBuilderFactoryImpl]
2015-01-26 10:21:07.018 UTC |                 localhost-startStop-1 | DEBUG | matchID:          |      o.s.beans.factory.xml.PluggableSchemaResolver | Found XML schema [http://www.springframework.org/schema/beans/spring-beans.xsd] in classpath: org/springframework/beans/factory/xml/spring-beans-4.0.xsd
2015-01-26 10:21:07.031 UTC |                 localhost-startStop-1 | DEBUG | matchID:          |    o.s.b.f.xml.DefaultBeanDefinitionDocumentReader | Loading bean definitions
2015-01-26 10:21:07.032 UTC |                 localhost-startStop-1 | DEBUG | matchID:          | o.s.b.factory.support.AbstractBeanDefinitionReader | Loaded 1 bean definitions from location pattern [classpath:/scoreboards-generic-i18n-context.xml]
2015-01-26 10:21:07.032 UTC |                 localhost-startStop-1 | DEBUG | matchID:          |    o.s.b.f.xml.DefaultBeanDefinitionDocumentReader | Imported 1 bean definitions from URL location [classpath:/scoreboards-generic-i18n-context.xml]
2015-01-26 10:21:07.032 UTC |                 localhost-startStop-1 |  INFO | matchID:          |      o.s.beans.factory.xml.XmlBeanDefinitionReader | Loading XML bean definitions from class path resource [scoreboards-generic-beans-context.xml]
2015-01-26 10:21:07.033 UTC |                 localhost-startStop-1 | DEBUG | matchID:          |        o.s.beans.factory.xml.DefaultDocumentLoader | Using JAXP provider [com.sun.org.apache.xerces.internal.jaxp.DocumentBuilderFactoryImpl]
2015-01-26 10:21:07.035 UTC |                 localhost-startStop-1 | DEBUG | matchID:          |      o.s.beans.factory.xml.PluggableSchemaResolver | Found XML schema [http://www.springframework.org/schema/beans/spring-beans.xsd] in classpath: org/springframework/beans/factory/xml/spring-beans-4.0.xsd
2015-01-26 10:21:07.048 UTC |                 localhost-startStop-1 | DEBUG | matchID:          |    o.s.b.f.xml.DefaultBeanDefinitionDocumentReader | Loading bean definitions
2015-01-26 10:21:07.049 UTC |                 localhost-startStop-1 | DEBUG | matchID:          |       o.s.core.env.PropertySourcesPropertyResolver | Searching for key 'spring.profiles.active' in [servletConfigInitParams]
2015-01-26 10:21:07.049 UTC |                 localhost-startStop-1 | DEBUG | matchID:          |       o.s.core.env.PropertySourcesPropertyResolver | Searching for key 'spring.profiles.active' in [servletContextInitParams]
